고유번호,기준연도,행정동코드,행정동명,2007년사용량,2008년사용량,경도,위도
77,2008,1104070,용답동,62.360444,64.027549,127.057958,37.5613412
78,2008,1104071,왕십리도선동,90.02822,86.348238,127.0299465,37.5665139
79,2008,1104072,금호2.3가동,59.342636,58.683536,127.0196534,37.5527101
80,2008,1104073,옥수동,57.407986,57.639957,127.017035,37.5425349
71,2008,1107068,망우3동,38.534857,40.139422,127.102815,37.5915716
72,2008,1107069,신내1동,89.947991,92.427651,127.1034338,37.610154
73,2008,1104059,금호1가동,43.497025,45.319623,127.0245005,37.5530173
74,2008,1104062,금호4가동,41.150111,42.329717,127.0227871,37.5435666
196,2008,1121061,중앙동,43.864535,45.31246,126.9513359,37.484121
199,2008,1116065,가양2동,47.595442,46.802504,126.85434,37.5683492
101,2008,1109073,삼각산동,48.427198,46.20679,127.0154022,37.6162901
102,2008,1110053,쌍문3동,46.749377,47.200163,127.0307557,37.6471216
109,2008,1107052,면목2동,75.902712,80.880864,127.0787611,37.5891501
110,2008,1107054,면목4동,40.38833,41.646316,127.0870602,37.5734769
113,2008,1111053,월계3동,55.776421,55.516657,127.0657929,37.6231698
114,2008,1111061,중계1동,66.686687,67.502946,127.0734019,37.6498108
115,2008,1115051,목1동,335.048591,344.459505,126.8762641,37.52705
122,2008,1107071,면목본동,92.304181,94.899973,127.0891884,37.5889229
123,2008,1107072,면목3.8동,72.937361,75.284968,127.0967843,37.5847387
129,2008,1108061,보문동,50.940757,52.495622,127.0195816,37.5830882
119,2008,1106078,전농2동,78.460451,79.166675,127.0501483,37.5807698
120,2008,1106079,답십리3동,68.364685,68.184517,127.0504575,37.5704403
130,2008,1109062,번3동,43.420052,42.278927,127.0433655,37.6234709
131,2008,1106077,용두동,118.941718,113.905124,127.0349563,37.57743
132,2008,1109064,수유2동,53.133386,53.59893,127.0195059,37.6450152
133,2008,1110054,쌍문4동,37.012029,37.925266,127.0300327,37.6554033
117,2008,1111072,상계8동,39.487759,39.629381,127.0537799,37.6661992
118,2008,1112056,갈현2동,66.361245,67.52879,126.9126436,37.6183503
201,2008,1122067,양재2동,256.857777,265.90221,127.0464793,37.4541092
112,2008,1110060,창2동,81.835338,77.640209,127.0372578,37.6417801
126,2008,1116066,가양3동,46.83156,45.744792,126.8622364,37.5627583
128,2008,1107055,면목5동,29.634079,30.620864,127.0789107,37.5822023
135,2008,1111063,중계3동,57.202605,58.165665,127.0676494,37.6446146
104,2008,1107065,묵2동,42.468021,43.124083,127.075083,37.6108728
99,2008,1108058,돈암1동,70.122528,70.599538,127.0244233,37.599316
125,2008,1114059,용강동,98.286756,99.623891,126.9423661,37.5404748
127,2008,1116069,공항동,111.306736,112.082613,126.7947412,37.5566442
152,2008,1108071,월곡1동,41.906698,43.022481,127.0370768,37.6076034
154,2008,1106071,회기동,78.186107,82.046922,127.0520037,37.5944552
144,2008,1108064,정능3동,64.865559,69.463649,126.994311,37.614787
178,2008,1111073,상계9동,41.921609,42.356616,127.0631949,37.6676017
197,2008,1122054,서초4동,211.361442,214.663133,127.0200266,37.499109
206,2008,1115060,신월4동,38.724925,39.551319,126.8396852,37.5218161
166,2008,1110059,창1동,63.760126,64.151771,127.0423736,37.6454302
179,2008,1111074,상계10동,34.909721,37.264151,127.0585925,37.6598455
186,2008,1110055,방학1동,119.073643,120.041755,127.0431323,37.6651501
193,2008,1115072,신정4동,109.37146,111.760412,126.8571714,37.5254653
149,2008,1109061,번2동,39.501968,40.165248,127.0344734,37.6276871
150,2008,1109063,수유1동,61.764269,63.398205,127.0087803,37.6295496
151,2008,1108066,길음1동,48.99255,48.950559,127.0202048,37.6080703
158,2008,1107057,면목7동,50.900274,52.305154,127.0911624,37.5761301
159,2008,1107059,상봉1동,49.532986,51.21358,127.0880656,37.6024549
160,2008,1107060,상봉2동,75.76344,77.886932,127.0817926,37.5945418
161,2008,1107061,중화1동,32.740969,33.237703,127.0829266,37.6026318
162,2008,1109069,삼양동,57.941617,59.861138,127.0133716,37.6243866
163,2008,1109070,미아동,74.925379,76.682788,127.0266289,37.6289612
136,2008,1111069,상계5동,53.253687,53.662579,127.0700774,37.6633451
137,2008,1112058,대조동,107.800828,112.362278,126.924346,37.6129551
138,2008,1107064,묵1동,90.032651,90.883353,127.0832136,37.6128345
139,2008,1108060,안암동,117.012557,120.318403,127.0275995,37.5868763
165,2008,1110057,방학3동,57.583657,58.014133,127.0251742,37.6626127
153,2008,1108072,월곡2동,88.469642,90.730529,127.0446648,37.6032023
155,2008,1106072,휘경1동,45.863064,47.242091,127.061833,37.5914118
156,2008,1106073,휘경2동,54.383356,55.123383,127.065974,37.5867326
121,2008,1107070,신내2동,42.075753,40.930421,127.0906807,37.6090172
105,2008,1106065,장안1동,106.015647,106.191154,127.0646127,37.5671372
106,2008,1106076,이문3동,42.244423,43.285574,127.0667615,37.6023909
107,2008,1108082,삼선동,89.245382,92.403886,127.0115825,37.5864159
100,2008,1108084,종암동,132.53434,138.317273,127.0329179,37.5976482
108,2008,1106080,청량리동,99.391442,101.198931,127.0459623,37.5884461
111,2008,1110052,쌍문2동,58.092188,58.583272,127.037596,37.65647
116,2008,1111062,중계2동,37.262042,37.171698,127.0635677,37.6418637
124,2008,1110061,창3동,187.544867,183.750722,127.0414145,37.637731
134,2008,1110063,창5동,77.4513,80.626632,127.0423315,37.6566244
142,2008,1107062,중화2동,70.499653,72.393996,127.0748907,37.5989287
148,2008,1109060,번1동,74.921541,79.204482,127.0308537,37.6383904
157,2008,1106075,이문2동,64.275139,67.378854,127.0575155,37.5973873
164,2008,1110056,방학2동,51.128662,51.930507,127.0313205,37.668601
147,2008,1108085,석관동,96.565964,97.900886,127.0611724,37.6081631
189,2008,1109065,수유3동,90.685701,93.269578,127.0238872,37.6410633
194,2008,1116072,방화3동,55.268514,56.168448,126.8153977,37.5829656
195,2008,1118053,독산2동,47.764737,49.19125,126.9048969,37.4626908
198,2008,1117051,신도림동,111.609724,131.209071,126.8831808,37.5101829
200,2008,1114063,신수동,57.413055,57.51023,126.9331156,37.5447268
214,2008,1114068,합정동,64.569246,65.829418,126.9085437,37.5471898
219,2008,1112055,갈현1동,65.246595,67.01902,126.9143615,37.6247955
229,2008,1114061,염리동,63.565759,64.526704,126.9472006,37.5501423
190,2008,1113073,충현동,122.109758,121.377063,126.9594203,37.5647554
191,2008,1113075,신촌동,377.680794,400.633552,126.9384315,37.5659638
192,2008,1112057,구산동,57.062627,59.525058,126.9091326,37.6120976
181,2008,1109072,송천동,83.607948,84.462566,127.0243166,37.6182289
182,2008,1109075,인수동,74.143643,75.570425,127.0040789,37.6385455
183,2008,1108076,장위1동,45.926655,47.038335,127.0444584,37.615589
167,2008,1110062,창4동,96.357402,96.869386,127.0503232,37.6514095
168,2008,1110065,도봉2동,64.108522,64.750755,127.0478527,37.6815251
140,2008,1108062,정능1동,52.25766,54.309414,127.0174838,37.6060713
141,2008,1108063,정능2동,46.308772,46.506746,127.0074724,37.604141
143,2008,1107073,망우본동,116.161737,117.926706,127.1055957,37.602601
145,2008,1108065,정능4동,70.635456,75.157943,126.9951836,37.6222164
146,2008,1108083,동선동,85.348375,87.535162,127.0184009,37.5936584
174,2008,1111060,중계본동,79.393874,79.835903,127.0855729,37.6480524
176,2008,1111065,상계1동,94.326215,97.039456,127.067219,37.6835121
177,2008,1111066,상계2동,120.042952,122.828294,127.0662128,37.6560265
180,2008,1109071,송중동,113.203346,114.619429,127.0333957,37.6174199
184,2008,1108077,장위2동,55.539579,57.746297,127.0530399,37.6126538
185,2008,1108078,장위3동,44.412204,47.013793,127.0538288,37.6183799
187,2008,1108059,돈암2동,17.042226,17.516867,127.012714,37.5967953
188,2008,1112052,불광1동,85.428501,82.017871,126.9372782,37.6181244
171,2008,1111076,상계3.4동,89.619841,90.353007,127.0810527,37.676222
172,2008,1111054,월계4동,52.519719,53.11605,127.0571886,37.6315663
173,2008,1111058,하계1동,89.891608,90.275095,127.0750977,37.6384143
210,2008,1116073,화곡1동,127.077416,131.277653,126.8413547,37.5341055
211,2008,1112059,응암1동,88.887819,93.006265,126.9271635,37.5971614
212,2008,1112060,응암2동,43.985831,39.096177,126.9228547,37.5916628
213,2008,1110051,쌍문1동,52.283424,54.278344,127.0206282,37.6543185
216,2008,1115064,신정1동,58.696826,59.724972,126.8599132,37.5181274
223,2008,1113071,북가좌1동,33.938999,29.418225,126.9084379,37.5756028
228,2008,1113076,연희동,114.706161,117.321056,126.9318214,37.5721432
230,2008,1114066,서교동,268.16259,290.530882,126.9228533,37.5550337
224,2008,1113072,북가좌2동,65.854729,69.175736,126.9139325,37.5811056
225,2008,1116061,화곡6동,92.898854,91.559377,126.8511714,37.5516082
226,2008,1116063,화곡8동,53.567671,53.738969,126.847988,37.5337349
227,2008,1116064,가양1동,266.058118,210.295246,126.8352521,37.5734646
215,2008,1115057,신월1동,56.036278,58.411382,126.8344994,37.5311542
217,2008,1116051,염창동,174.399806,179.068792,126.8764141,37.5537467
220,2008,1113074,북아현동,46.059074,47.117342,126.9551002,37.5593178
257,2008,1115069,신정6동,67.915854,67.519087,126.8704306,37.5162508
285,2008,1122059,반포3동,85.00132,86.122256,127.0039808,37.5126405
202,2008,1119054,여의도동,831.769753,862.389607,126.9290731,37.5286662
255,2008,1115063,신월7동,54.570018,55.359121,126.8313103,37.5169283
